timestamp,level,source,message,error
2025-11-06T19:11:18,INFO,update_data_api_fudo,Actualizando ventas.csv (todas las sucursales),
2025-11-06T19:11:19,INFO,update_data_api_fudo,"Update completed: {'ventas_added': 20, 'items_added': 24}",
2025-11-06T19:11:19,INFO,process_data,Abriendo bases y actualizando metricas,
2025-11-06T19:11:19,INFO,process_data,Guardando dataframes en excel,
2025-11-06T19:13:05,INFO,process_data,"Processing completed: {'ventas_rows': 3430, 'items_rows': 8915, 'permanencia_rows': 84, 'generated': ['procesado/items.xlsx', 'procesado/ventas.xlsx', 'procesado/permanencia.xlsx']}",
2025-11-06T19:13:05,INFO,main,Pipeline finished in 124.1s,
2025-11-06T19:16:29,INFO,process_data,Abriendo bases y actualizando metricas,
2025-11-06T19:16:29,INFO,process_data,Guardando dataframes en excel,
2025-11-06T19:30:51,INFO,process_data,Abriendo bases y actualizando metricas,
2025-11-06T19:30:51,INFO,process_data,Guardando dataframes en excel,
2025-11-07T13:44:18,INFO,main,Pipeline start,
2025-11-07T13:44:28,INFO,update_data_api_fudo,Cargando dataframes,
2025-11-07T13:44:28,INFO,update_data_api_fudo,[Arguibel] Descargando desde sale_id 848,
2025-11-07T13:44:31,INFO,update_data_api_fudo,[Polo] Descargando desde sale_id 1565,
2025-11-07T13:44:45,INFO,update_data_api_fudo,Actualizando items.csv (todas las sucursales),
2025-11-07T13:44:46,INFO,update_data_api_fudo,Actualizando ventas.csv (todas las sucursales),
2025-11-07T13:44:47,INFO,update_data_api_fudo,"Update completed: {'ventas_added': 84, 'items_added': 131}",
2025-11-07T13:44:47,INFO,process_data,Abriendo bases y actualizando metricas,
2025-11-07T13:44:48,INFO,process_data,Guardando dataframes en excel,
2025-11-07T13:46:28,INFO,process_data,"Processing completed: {'ventas_rows': 3494, 'items_rows': 9046, 'permanencia_rows': 85, 'generated': ['procesado/items.xlsx', 'procesado/ventas.xlsx', 'procesado/permanencia.xlsx']}",
2025-11-07T13:46:28,INFO,main,Pipeline finished in 130.3s,
2025-11-07T14:22:40,INFO,main,Pipeline start,
2025-11-07T14:22:50,INFO,update_data_api_fudo,Cargando dataframes,
2025-11-07T14:22:50,INFO,update_data_api_fudo,[Arguibel] Descargando desde sale_id 863,
2025-11-07T14:22:51,INFO,update_data_api_fudo,[Polo] Descargando desde sale_id 1613,
2025-11-07T14:23:01,INFO,update_data_api_fudo,Actualizando items.csv (todas las sucursales),
2025-11-07T14:23:02,INFO,update_data_api_fudo,Actualizando ventas.csv (todas las sucursales),
2025-11-07T14:23:03,INFO,update_data_api_fudo,"Update completed: {'ventas_added': 40, 'items_added': 67}",
2025-11-07T14:23:03,INFO,process_data,Abriendo bases y actualizando metricas,
2025-11-07T14:23:03,INFO,process_data,Guardando dataframes en excel,
2025-11-07T14:24:48,INFO,process_data,"Processing completed: {'ventas_rows': 3512, 'items_rows': 9111, 'permanencia_rows': 85, 'generated': ['procesado/items.xlsx', 'procesado/ventas.xlsx', 'procesado/permanencia.xlsx']}",
2025-11-07T14:24:48,INFO,main,Pipeline finished in 128.2s,
2025-11-07T16:53:38,INFO,update_data_api_fudo,Cargando dataframes,
2025-11-07T16:53:38,INFO,update_data_api_fudo,[Arguibel] Descargando desde sale_id 865,
2025-11-07T16:53:40,INFO,update_data_api_fudo,[Polo] Descargando desde sale_id 1631,
